"number","severity","package","ecosystem","manifest","relationship","scope","summary","cve","ghsa","opened","url"
128,"high","undici","npm","documentation/package-lock.json","transitive","development","Undici: Malicious WebSocket 64-bit length overflows parser and crashes the client","CVE-2026-1528","GHSA-f269-vfmq-vjvj","2026-03-13T22:15:26Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/128"
126,"high","serialize-javascript","npm","package-lock.json","transitive","development","Serialize JavaScript is Vulnerable to RCE via RegExp.flags and Date.prototype.toISOString()","","GHSA-5c6j-r48x-rmvq","2026-03-06T16:13:15Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/126"
125,"high","svgo","npm","package-lock.json","transitive","development","SVGO DoS through entity expansion in DOCTYPE (Billion Laughs)","CVE-2026-29074","GHSA-xpqw-6gx7-v673","2026-03-05T00:20:40Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/125"
124,"high","immutable","npm","package-lock.json","transitive","development","Immutable is vulnerable to Prototype Pollution","CVE-2026-29063","GHSA-wf6x-7x77-mvgw","2026-03-04T22:56:42Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/124"
123,"high","immutable","npm","documentation/package-lock.json","transitive","development","Immutable is vulnerable to Prototype Pollution","CVE-2026-29063","GHSA-wf6x-7x77-mvgw","2026-03-04T22:56:42Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/123"
122,"high","rollup","npm","documentation/package-lock.json","transitive","development","Rollup 4 has Arbitrary File Write via Path Traversal","CVE-2026-27606","GHSA-mw96-cpmx-2vgc","2026-02-28T18:57:17Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/122"
121,"high","minimatch","npm","package-lock.json","transitive","development","minimatch has ReDoS: matchOne() combinatorial backtracking via multiple non-adjacent GLOBSTAR segments","CVE-2026-27903","GHSA-7r86-cg39-jmmj","2026-02-28T18:00:05Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/121"
118,"high","minimatch","npm","package-lock.json","transitive","development","minimatch has ReDoS: matchOne() combinatorial backtracking via multiple non-adjacent GLOBSTAR segments","CVE-2026-27903","GHSA-7r86-cg39-jmmj","2026-02-28T12:01:30Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/118"
117,"critical","basic-ftp","npm","package-lock.json","transitive","development","Basic FTP has Path Traversal Vulnerability in its downloadToDir() method","CVE-2026-27699","GHSA-5rq4-664w-9x2c","2026-02-25T22:37:40Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/117"
114,"high","axios","npm","package-lock.json","transitive","development","Axios is Vulnerable to Denial of Service via __proto__ Key in mergeConfig","CVE-2026-25639","GHSA-43fc-jf86-j433","2026-02-22T15:25:08Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/114"
113,"medium","ajv","npm","package-lock.json","transitive","runtime","ajv has ReDoS when using `$data` option","CVE-2025-69873","GHSA-2g4f-4pwh-qvx6","2026-02-22T13:50:11Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/113"
109,"low","qs","npm","package-lock.json","transitive","runtime","qs's arrayLimit bypass in comma parsing allows denial of service","CVE-2026-2391","GHSA-w7fw-mjwx-w883","2026-02-14T04:00:35Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/109"
106,"low","webpack","npm","package-lock.json","transitive","development","webpack buildHttp HttpUriPlugin allowedUris bypass via HTTP redirects → SSRF + cache persistence","CVE-2025-68157","GHSA-38r7-794h-5758","2026-02-07T17:02:49Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/106"
105,"low","webpack","npm","package-lock.json","transitive","development","webpack buildHttp: allowedUris allow-list bypass via URL userinfo (@) leading to build-time SSRF behavior","CVE-2025-68458","GHSA-8fgc-7cc6-rx7x","2026-02-07T16:59:06Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/105"
104,"medium","symfony/process","composer","composer.lock","unknown","development","Symfony's incorrect argument escaping under MSYS2/Git Bash can lead to destructive file operations on Windows","CVE-2026-24739","GHSA-r39x-jcww-82v6","2026-01-28T23:29:53Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/104"
103,"high","phpunit/phpunit","composer","composer.lock","unknown","development","PHPUnit Vulnerable to Unsafe Deserialization in PHPT Code Coverage Handling","CVE-2026-24765","GHSA-vvj3-c3rp-c85p","2026-01-28T01:13:09Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/103"
101,"medium","lodash","npm","package-lock.json","direct","development","Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions","CVE-2025-13465","GHSA-xxjr-mmjv-4gpg","2026-01-22T03:01:27Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/101"
100,"medium","lodash-es","npm","package-lock.json","transitive","development","Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions","CVE-2025-13465","GHSA-xxjr-mmjv-4gpg","2026-01-21T23:20:16Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/100"
98,"medium","qs","npm","package-lock.json","transitive","runtime","qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion","CVE-2025-15284","GHSA-6rw7-vpxm-498p","2026-01-01T13:46:05Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/98"
97,"low","composer/composer","composer","composer.lock","unknown","development","Composer is vulnerable to ANSI sequence injection","CVE-2025-67746","GHSA-59pp-r3rg-353g","2025-12-30T17:49:09Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/97"
96,"medium","mdast-util-to-hast","npm","documentation/package-lock.json","transitive","development","mdast-util-to-hast has unsanitized class attribute","CVE-2025-66400","GHSA-4fh9-h7wg-q85m","2025-12-02T02:47:40Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/96"
95,"medium","node-forge","npm","package-lock.json","transitive","runtime","node-forge is vulnerable to ASN.1 OID Integer Truncation","CVE-2025-66030","GHSA-65ch-62r8-g69g","2025-11-26T22:51:24Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/95"
94,"high","node-forge","npm","package-lock.json","transitive","runtime","node-forge has ASN.1 Unbounded Recursion","CVE-2025-66031","GHSA-554w-wpv2-vw27","2025-11-26T22:51:24Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/94"
93,"high","node-forge","npm","package-lock.json","transitive","runtime","node-forge has an Interpretation Conflict vulnerability via its ASN.1 Validator Desynchronization","CVE-2025-12816","GHSA-5gfm-wpxj-wjgq","2025-11-26T22:51:23Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/93"
92,"medium","js-yaml","npm","documentation/package-lock.json","transitive","development","js-yaml has prototype pollution in merge (<<)","CVE-2025-64718","GHSA-mh29-5h37-fv8m","2025-11-17T17:30:33Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/92"
91,"medium","js-yaml","npm","package-lock.json","transitive","development","js-yaml has prototype pollution in merge (<<)","CVE-2025-64718","GHSA-mh29-5h37-fv8m","2025-11-17T17:30:32Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/91"
